기준일,메이저금속지수
2013-08-06,1634.087163
2013-08-07,1644.152934
2013-08-08,1629.216983
2013-08-09,1673.717439
2013-08-12,1696.41013
2013-08-13,1718.778785
2013-08-14,1733.896772
2013-08-15,1732.553865
2013-08-16,1726.795918
2013-08-19,1737.405246
2013-08-20,1736.323157
2013-08-21,1724.474431
2013-08-22,1721.112356
2013-08-23,1729.282978
2013-08-27,1720.051144
2013-08-28,1724.896168
2013-08-29,1723.560552
2013-08-30,1704.25631
2013-09-02,1682.925488
2013-09-03,1684.038624
2013-09-04,1685.394412
2013-09-05,1669.613155
2013-09-06,1668.55605
2013-09-09,1680.977031
2013-09-10,1676.545317
2013-09-11,1670.845232
2013-09-12,1669.032518
2013-09-13,1656.740114
2013-09-16,1654.463231
2013-09-17,1643.914727
2013-09-18,1635.261405
2013-09-19,1644.338288
2013-09-20,1676.188452
2013-09-23,1670.593437
2013-09-24,1655.458405
2013-09-25,1656.223663
2013-09-26,1662.296677
2013-09-27,1670.896192
2013-09-30,1672.752175
2013-10-01,1675.44273
2013-10-02,1663.086453
2013-10-03,1652.378953
2013-10-04,1660.698368
2013-10-07,1655.17281
2013-10-08,1659.78276
2013-10-09,1674.853493
2013-10-10,1674.685268
2013-10-11,1668.822507
2013-10-14,1676.27163
2013-10-15,1685.880823
2013-10-16,1679.91226
2013-10-17,1674.242161
2013-10-18,1680.560155
2013-10-21,1692.935266
2013-10-22,1691.768922
2013-10-23,1701.79301
2013-10-24,1687.634317
2013-10-25,1683.935006
2013-10-28,1681.029079
2013-10-29,1690.201079
2013-10-30,1693.622726
2013-10-31,1698.119456
2013-11-01,1694.988006
2013-11-04,1709.096753
2013-11-05,1687.509558
2013-11-06,1679.268866
2013-11-07,1693.092295
2013-11-08,1677.429539
2013-11-11,1672.745181
2013-11-12,1670.844965
2013-11-13,1666.292983
2013-11-14,1658.422166
2013-11-15,1654.983362
2013-11-18,1655.144954
2013-11-19,1654.588737
2013-11-20,1654.517032
2013-11-21,1655.933082
2013-11-22,1648.001151
2013-11-25,1661.183498
2013-11-26,1657.731719
2013-11-27,1657.101512
2013-11-28,1651.785285
2013-11-29,1642.251415
2013-12-02,1648.867082
