기준일,희유금속지수
2014-03-12,1280.735069
2014-03-13,1280.735069
2014-03-14,1280.735069
2014-03-17,1288.91625
2014-03-18,1288.91625
2014-03-19,1288.91625
2014-03-20,1288.91625
2014-03-21,1288.91625
2014-03-24,1289.257833
2014-03-25,1289.257833
2014-03-26,1289.257833
2014-03-27,1289.257833
2014-03-28,1289.257833
2014-03-31,1292.48455
2014-04-01,1292.48455
2014-04-02,1292.48455
2014-04-03,1292.48455
2014-04-04,1292.48455
2014-04-07,1296.987936
2014-04-08,1296.987936
2014-04-09,1296.987936
2014-04-10,1296.987936
2014-04-11,1296.987936
2014-04-14,1309.626146
2014-04-15,1309.626146
2014-04-16,1309.626146
2014-04-17,1309.626146
2014-04-22,1309.626146
2014-04-23,1329.598925
2014-04-24,1329.598925
2014-04-25,1329.598925
2014-04-28,1324.968119
2014-04-29,1324.968119
2014-04-30,1324.968119
2014-05-01,1324.968119
2014-05-02,1324.968119
2014-05-06,1324.402788
2014-05-07,1324.402788
2014-05-08,1324.402788
2014-05-09,1324.402788
2014-05-12,1337.218847
2014-05-13,1337.218847
2014-05-14,1337.218847
2014-05-15,1337.218847
2014-05-16,1337.218847
2014-05-19,1349.577215
2014-05-20,1349.577215
2014-05-21,1349.577215
2014-05-22,1349.577215
2014-05-23,1349.577215
2014-05-27,1347.85482
2014-05-28,1347.85482
2014-05-29,1347.85482
2014-05-30,1347.85482
2014-06-02,1355.278792
2014-06-03,1355.278792
2014-06-04,1355.278792
2014-06-05,1355.278792
2014-06-06,1355.278792
2014-06-09,1359.58243
2014-06-10,1359.58243
2014-06-11,1359.58243
2014-06-12,1359.58243
2014-06-13,1359.58243
2014-06-16,1356.03739
2014-06-17,1356.03739
2014-06-18,1356.03739
2014-06-19,1356.03739
2014-06-20,1356.03739
2014-06-23,1349.903088
2014-06-24,1349.903088
2014-06-25,1349.903088
2014-06-26,1349.903088
2014-06-27,1349.903088
2014-06-30,1339.073284
2014-07-01,1339.073284
2014-07-02,1339.073284
2014-07-03,1339.073284
2014-07-04,1339.073284
2014-07-07,1338.009458
2014-07-08,1338.009458
2014-07-09,1338.009458
2014-07-10,1338.009458
2014-07-11,1338.009458
2014-07-14,1335.490128
2014-07-15,1335.490128
2014-07-16,1335.490128
2014-07-17,1335.490128
2014-07-18,1335.490128
2014-07-21,1341.500006
2014-07-22,1341.500006
2014-07-23,1341.500006
2014-07-24,1341.500006
2014-07-25,1341.500006
2014-07-28,1346.083626
2014-07-29,1346.083626
2014-07-30,1346.083626
2014-07-31,1346.083626
2014-08-01,1346.083626
2014-08-04,1348.339616
2014-08-05,1348.339616
2014-08-06,1348.339616
2014-08-07,1348.339616
2014-08-08,1348.339616
2014-08-11,1343.848465
2014-08-12,1343.848465
2014-08-13,1343.848465
2014-08-14,1343.848465
2014-08-15,1343.848465
2014-08-18,1347.141835
2014-08-19,1347.141835
2014-08-20,1347.141835
2014-08-21,1347.141835
2014-08-22,1347.141835
2014-08-26,1349.033455
2014-08-27,1349.033455
2014-08-28,1349.033455
2014-08-29,1349.033455
2014-09-01,1353.01065
2014-09-02,1353.01065
2014-09-03,1353.01065
2014-09-04,1353.01065
2014-09-05,1353.01065
2014-09-08,1350.457954
2014-09-09,1350.457954
2014-09-10,1350.457954
2014-09-11,1350.457954
2014-09-12,1350.457954
2014-09-15,1347.588249
2014-09-16,1347.588249
2014-09-17,1347.588249
2014-09-18,1347.588249
2014-09-19,1347.588249
2014-09-22,1331.323263
2014-09-23,1331.323263
2014-09-24,1331.323263
2014-09-25,1331.323263
2014-09-26,1331.323263
2014-09-29,1314.638863
2014-09-30,1314.638863
2014-10-01,1314.638863
2014-10-02,1314.638863
2014-10-03,1314.638863
2014-10-06,1300.604944
2014-10-07,1300.604944
2014-10-08,1300.604944
2014-10-09,1300.604944
2014-10-10,1300.604944
2014-10-13,1271.895894
2014-10-14,1271.895894
2014-10-15,1271.895894
2014-10-16,1271.895894
2014-10-17,1271.895894
2014-10-20,1301.893154
2014-10-21,1301.893154
2014-10-22,1301.893154
2014-10-23,1301.893154
2014-10-24,1301.893154
2014-10-27,1296.238378
2014-10-28,1296.238378
2014-10-29,1296.238378
2014-10-30,1296.238378
2014-10-31,1296.238378
2014-11-03,1277.744969
2014-11-04,1277.744969
2014-11-05,1277.744969
2014-11-06,1277.744969
2014-11-07,1277.744969
2014-11-10,1274.008564
2014-11-11,1274.008564
2014-11-12,1274.008564
2014-11-13,1274.008564
2014-11-14,1274.008564
2014-11-17,1268.361827
2014-11-18,1268.361827
2014-11-19,1268.361827
2014-11-20,1268.361827
2014-11-21,1268.361827
2014-11-24,1258.998937
2014-11-25,1258.998937
2014-11-26,1258.998937
2014-11-27,1258.998937
2014-11-28,1258.998937
2014-12-01,1255.856059
2014-12-02,1255.856059
2014-12-03,1255.856059
2014-12-04,1255.856059
2014-12-05,1255.856059
2014-12-08,1251.958453
2014-12-09,1251.958453
2014-12-10,1251.958453
2014-12-11,1251.958453
2014-12-12,1251.958453
2014-12-15,1253.149376
2014-12-16,1253.149376
2014-12-17,1253.149376
2014-12-18,1253.149376
2014-12-19,1253.149376
2014-12-22,1256.108722
2014-12-23,1256.108722
2014-12-24,1256.108722
2014-12-29,1256.108722
2014-12-30,1256.302381
2014-12-31,1256.302381
2015-01-04,1256.302381
2015-01-05,1259.066069
2015-01-06,1259.066069
2015-01-07,1259.066069
2015-01-08,1259.066069
2015-01-09,1259.066069
2015-01-12,1255.878759
2015-01-13,1255.878759
2015-01-14,1255.878759
2015-01-15,1255.878759
2015-01-16,1255.878759
2015-01-19,1250.72718
2015-01-20,1250.72718
2015-01-21,1250.72718
2015-01-22,1250.72718
2015-01-23,1250.72718
2015-01-26,1245.621667
2015-01-27,1245.621667
2015-01-28,1245.621667
2015-01-29,1245.621667
2015-01-30,1245.621667
2015-02-02,1235.481657
2015-02-03,1235.481657
2015-02-04,1235.481657
2015-02-05,1235.481657
2015-02-06,1235.481657
2015-02-09,1225.841243
2015-02-10,1225.841243
2015-02-11,1225.841243
2015-02-12,1225.841243
2015-02-13,1225.841243
2015-02-16,1217.104287
2015-02-17,1217.104287
2015-02-18,1217.104287
2015-02-19,1217.104287
2015-02-20,1217.104287
2015-02-23,1204.812884
2015-02-24,1204.812884
2015-02-25,1204.812884
2015-02-26,1204.812884
2015-02-27,1204.812884
2015-03-02,1208.130452
2015-03-03,1208.130452
2015-03-04,1208.130452
2015-03-05,1208.130452
2015-03-06,1208.130452
2015-03-09,1201.189622
2015-03-10,1201.189622
2015-03-11,1201.189622
2015-03-12,1201.189622
2015-03-13,1201.189622
2015-03-16,1199.011685
2015-03-17,1199.011685
2015-03-18,1199.011685
2015-03-19,1199.011685
2015-03-20,1199.011685
2015-03-23,1201.82602
2015-03-24,1201.82602
2015-03-25,1201.82602
2015-03-26,1201.82602
2015-03-27,1201.82602
2015-03-30,1192.249346
2015-03-31,1192.249346
2015-04-01,1192.249346
2015-04-02,1192.249346
2015-04-07,1193.330176
2015-04-08,1193.330176
2015-04-09,1193.330176
2015-04-10,1193.330176
2015-04-13,1198.367686
2015-04-14,1198.367686
2015-04-15,1198.367686
2015-04-16,1198.367686
2015-04-17,1198.367686
2015-04-20,1199.313749
2015-04-21,1199.313749
2015-04-22,1199.313749
2015-04-23,1199.313749
2015-04-24,1199.313749
2015-04-27,1197.875515
2015-04-28,1197.875515
2015-04-29,1197.875515
2015-04-30,1197.875515
2015-05-01,1197.875515
2015-05-05,1193.8186
2015-05-06,1193.8186
2015-05-07,1193.8186
2015-05-08,1193.8186
2015-05-11,1180.606103
2015-05-12,1180.606103
2015-05-13,1180.606103
2015-05-14,1180.606103
2015-05-15,1180.606103
2015-05-18,1178.853925
2015-05-19,1178.853925
2015-05-20,1178.853925
2015-05-21,1178.853925
2015-05-22,1178.853925
2015-05-26,1172.074632
2015-05-27,1172.074632
2015-05-28,1172.074632
2015-05-29,1172.074632
2015-06-01,1174.325833
2015-06-02,1174.325833
2015-06-03,1174.325833
2015-06-04,1174.325833
2015-06-05,1174.325833
2015-06-08,1174.856535
2015-06-09,1174.856535
2015-06-10,1174.856535
2015-06-11,1174.856535
2015-06-12,1174.856535
2015-06-15,1171.32916
2015-06-16,1171.32916
2015-06-17,1171.32916
2015-06-18,1171.32916
2015-06-19,1171.32916
2015-06-22,1141.845042
2015-06-23,1141.845042
2015-06-24,1141.845042
2015-06-25,1141.845042
2015-06-26,1141.845042
2015-06-29,1136.497892
2015-06-30,1136.497892
2015-07-01,1136.497892
2015-07-02,1136.497892
2015-07-03,1136.497892
2015-07-06,1116.88701
2015-07-07,1116.88701
2015-07-08,1116.88701
2015-07-09,1116.88701
2015-07-10,1116.88701
2015-07-13,1104.915615
2015-07-14,1104.915615
2015-07-15,1104.915615
2015-07-16,1104.915615
2015-07-17,1104.915615
2015-07-20,1099.099444
2015-07-21,1099.099444
2015-07-22,1099.099444
2015-07-23,1099.099444
2015-07-24,1099.099444
2015-07-27,1100.163456
2015-07-28,1100.163456
2015-07-29,1100.163456
2015-07-30,1100.163456
2015-07-31,1100.163456
2015-08-03,1097.367254
2015-08-04,1097.367254
2015-08-05,1097.367254
2015-08-06,1097.367254
2015-08-07,1097.367254
2015-08-10,1096.53501
2015-08-11,1096.53501
2015-08-12,1096.53501
2015-08-13,1096.53501
2015-08-14,1096.53501
2015-08-17,1090.137146
2015-08-18,1090.137146
2015-08-19,1090.137146
2015-08-20,1090.137146
2015-08-21,1090.137146
2015-08-24,1080.555937
2015-08-25,1080.555937
2015-08-26,1080.555937
2015-08-27,1080.555937
2015-08-28,1080.555937
2015-09-01,1070.959496
2015-09-02,1070.959496
2015-09-03,1070.959496
2015-09-04,1070.959496
2015-09-07,1060.055677
2015-09-08,1060.055677
2015-09-09,1060.055677
2015-09-10,1060.055677
2015-09-11,1060.055677
2015-09-14,1055.012482
2015-09-15,1055.012482
2015-09-16,1055.012482
2015-09-17,1055.012482
2015-09-18,1055.012482
2015-09-21,1061.890182
2015-09-22,1061.890182
2015-09-23,1061.890182
2015-09-24,1061.890182
2015-09-25,1061.890182
2015-09-28,1059.693012
2015-09-29,1059.693012
2015-09-30,1059.693012
2015-10-01,1059.693012
2015-10-02,1059.693012
2015-10-05,1057.279135
2015-10-06,1057.279135
2015-10-07,1057.279135
2015-10-08,1057.279135
2015-10-09,1057.279135
2015-10-12,1044.826166
2015-10-13,1044.826166
2015-10-14,1044.826166
2015-10-15,1044.826166
2015-10-16,1044.826166
2015-10-19,1016.276401
2015-10-20,1016.276401
2015-10-21,1016.276401
2015-10-22,1016.276401
2015-10-23,1016.276401
2015-10-26,990.3759292
2015-10-27,990.3759292
2015-10-28,990.3759292
2015-10-29,990.3759292
2015-10-30,990.3759292
2015-11-02,1003.643175
2015-11-03,1003.643175
2015-11-04,1003.643175
2015-11-05,1003.643175
2015-11-06,1003.643175
2015-11-09,1000.194864
2015-11-10,1000.194864
2015-11-11,1000.194864
2015-11-12,1000.194864
2015-11-13,1000.194864
2015-11-16,988.3583109
2015-11-17,988.3583109
2015-11-18,988.3583109
2015-11-19,988.3583109
2015-11-20,988.3583109
2015-11-23,988.8171247
2015-11-24,988.8171247
2015-11-25,988.8171247
2015-11-26,988.8171247
2015-11-27,988.8171247
2015-11-30,981.4010837
2015-12-01,981.4010837
2015-12-02,981.4010837
2015-12-03,981.4010837
2015-12-04,981.4010837
2015-12-07,979.8206132
2015-12-08,979.8206132
2015-12-09,979.8206132
2015-12-10,979.8206132
2015-12-11,979.8206132
2015-12-14,988.6906597
2015-12-15,988.6906597
2015-12-16,988.6906597
2015-12-17,988.6906597
2015-12-18,988.6906597
2015-12-21,987.4208095
2015-12-22,987.4208095
2015-12-23,987.4208095
2015-12-24,987.4208095
2015-12-29,995.6592914
2015-12-30,995.6592914
2015-12-31,995.6592914
2016-01-04,995.6592914
2016-01-05,996.8621937
2016-01-06,996.8621937
2016-01-07,996.8621937
2016-01-08,996.8621937
2016-01-11,997.2148796
2016-01-12,997.2148796
2016-01-13,997.2148796
2016-01-14,997.2148796
2016-01-15,997.2148796
2016-01-18,1001.191259
2016-01-19,1001.191259
2016-01-20,1001.191259
2016-01-21,1001.191259
2016-01-22,1001.191259
2016-01-25,1004.972248
2016-01-26,1004.972248
2016-01-27,1004.972248
2016-01-28,1004.972248
2016-01-29,1004.972248
2016-02-01,998.8118494
2016-02-02,998.8118494
2016-02-03,998.8118494
2016-02-04,998.8118494
2016-02-05,998.8118494
2016-02-08,1001.29181
2016-02-09,1001.29181
2016-02-10,1001.29181
2016-02-11,1001.29181
2016-02-12,1001.29181
2016-02-15,999.8153158
2016-02-16,999.8153158
2016-02-17,999.8153158
2016-02-18,999.8153158
2016-02-19,999.8153158
2016-02-22,1001.019259
2016-02-23,1001.019259
2016-02-24,1001.019259
2016-02-25,1001.019259
2016-02-26,1001.019259
2016-02-29,1005.112543
2016-03-01,1005.112543
2016-03-02,1005.112543
2016-03-03,1005.112543
2016-03-04,1005.112543
2016-03-07,1014.209823
2016-03-08,1014.209823
2016-03-09,1014.209823
2016-03-10,1014.209823
2016-03-11,1014.209823
2016-03-14,1023.751927
2016-03-15,1023.751927
2016-03-16,1023.751927
2016-03-17,1023.751927
2016-03-18,1023.751927
2016-03-21,1035.78566
2016-03-22,1035.78566
2016-03-23,1035.78566
2016-03-24,1035.78566
2016-03-29,1037.66943
2016-03-30,1037.66943
2016-03-31,1037.66943
2016-04-01,1037.66943
